User Type,Username,Date,Text
[T],Snowhiter,2012-05-29T14:36Z,For those who liked 'The Bridge' and other Scandinavian Dramas - I'm also uploading 'Sebastian Bergman' as of now - Enjoy and seed please ;)
,italianstud,2012-05-29T19:20Z,thanks mate!!!!!
,thekillawife,2012-05-29T20:20Z,Thank you
,PanTau1,2012-05-30T00:38Z,Have you english srt subs for season 2?
,drhulez,2012-05-30T05:18Z,"Thank you Sno, I've been waiting for these episodes for ages. I hop you'll be uploading the rest of season 2 shortly :)

Your Eng subs are best out there.

Downloading 'Sebastian Bergman' as well :D"
,phlebas,2012-05-30T14:20Z,Thanks.
,Akhenaton666,2012-05-31T22:55Z,Thanks Snowhiter.
,Malveros,2012-06-02T10:11Z,Brother bless you for all your superb uploads.
,lLoMac,2012-06-03T20:26Z,thanks for all your work in making this great series available
,MRMKHS1,2012-08-17T03:53Z,Maraming Salamat
