Filename,Size,Unit
Steins;Gate 07.mp4,342.45,M
Steins;Gate 23.mp4,337.62,M
Steins;Gate 09.mp4,336.37,M
Steins;Gate 17.mp4,322.98,M
Steins;Gate 18.mp4,316.2,M
Steins;Gate 08.mp4,314.71,M
Steins;Gate 15.mp4,314.2,M
Steins;Gate 16.mp4,303.93,M
Steins;Gate 13.mp4,295.28,M
Steins;Gate 20.mp4,294.91,M
Steins;Gate 19.mp4,288.75,M
Steins;Gate 14.mp4,288.24,M
Steins;Gate 21.mp4,287.64,M
Steins;Gate 12.mp4,281.38,M
Steins;Gate 01.mp4,281.15,M
Steins;Gate 11.mp4,280.02,M
Steins;Gate 10.mp4,273.56,M
Steins;Gate 22.mp4,271.34,M
Steins;Gate 02.mp4,266.47,M
Steins;Gate 03.mp4,256.36,M
Steins;Gate 05.mp4,242.39,M
Steins;Gate 06.mp4,240.24,M
Steins;Gate 04.mp4,237.29,M
Steins;Gate 24.mp4,229.66,M
