1	In Remembrance
2	Black Fairy (European Metal Version)
3	Fly To The Rainbow
4	Children Of The Damned
5	Under Jolly Roger
6	Symphony Of The Dead (Rerecorded Shortened Instrumental Version)
7	Here Comes The Tears

Therion Versions
8	Enter Transcendental Sleep
9	The Quiet Desert
10	Down The Qliphotic Tunnel
11	Up To Netzach / Floating Back

Original Soundtrack "The Golden Embrace"
12	The Fall Into Eclipse
13	Enter Transcendental Sleep
14	The Gates To A'Arab Zaraq Are Open
15	The Quiet Desert
16	Down The Qliphotic Tunnel
17	Up To Netzach
18	Floating Back
