NO 	TITLE                                 ARTIST   

01.	Dancing World                         Gianni De Vivo
02.	The Club                              Hudby Pole
03.	My Mind                               Tony Dee
04.	Love T (Tony Dee Remix)               Lostrocket & LDF
05.	Soothfast                             Sean Collier
06.	Best Fantasy                          Chrono
07.	Cassiopea                             Black Mood
08.	Troya (The Dolphins Remix)            Noir 
09.	Dos Mil Doce                          Mr Morek
10.	Tone & Color                          Hollen
11.	Pepas (David Herrero Ole Remix)       Inaki Santos & Paul Darey
12.	Tripod                                Gafry & More
